2024-03-26 17:19:22 | cleaner | INFO | Converting (sub) .pcap files to .csv files
2024-03-26 17:19:22 | cleaner | INFO | Removing (sub) .pcap files.
2024-03-26 17:19:22 | cleaner | INFO | Merging (sub) .csv files to a summary csv
2024-03-26 17:19:22 | cleaner | INFO | Removing (sub) .csv files
2024-03-26 17:19:22 | cleaner | INFO | Cleaner job done. (C:/Users/User/Documents/GitHub/Network-based-Intrusion-Detection-System-using-Machine-Learning/data/pre-processed_csv_files/device_202402102340.pcap)(0.03s),  total_errors= 0
2024-03-26 17:19:22 | cleaner | INFO | Elapsed Time = 0.05890512466430664s
2024-03-26 17:46:02 | cleaner | INFO | Start Data Cleaning
2024-03-26 17:46:02 | cleaner | INFO | Splitting the .pcap file: device_202402102330.pcap
2024-03-26 17:46:02 | cleaner | INFO | Converting (sub) .pcap files to .csv files
2024-03-26 17:46:02 | cleaner | INFO | Removing (sub) .pcap files.
2024-03-26 17:46:02 | cleaner | INFO | Merging (sub) .csv files to a summary csv
2024-03-26 17:46:02 | cleaner | INFO | Removing (sub) .csv files
2024-03-26 17:46:02 | cleaner | INFO | Cleaner job done. (C:/Users/User/Documents/GitHub/Network-based-Intrusion-Detection-System-using-Machine-Learning/data/pre-processed_csv_files/device_202402102330.pcap)(0.03s),  total_errors= 0
2024-03-26 17:46:02 | cleaner | INFO | Splitting the .pcap file: device_202402102340.pcap
2024-03-26 17:46:02 | cleaner | INFO | Converting (sub) .pcap files to .csv files
2024-03-26 17:46:02 | cleaner | INFO | Removing (sub) .pcap files.
2024-03-26 17:46:02 | cleaner | INFO | Merging (sub) .csv files to a summary csv
2024-03-26 17:46:02 | cleaner | INFO | Removing (sub) .csv files
2024-03-26 17:46:02 | cleaner | INFO | Cleaner job done. (C:/Users/User/Documents/GitHub/Network-based-Intrusion-Detection-System-using-Machine-Learning/data/pre-processed_csv_files/device_202402102340.pcap)(0.03s),  total_errors= 0
2024-03-26 17:46:02 | cleaner | INFO | Elapsed Time = 0.06562662124633789s
2024-03-26 17:49:13 | cleaner | INFO | Start Data Cleaning
2024-03-26 17:49:13 | cleaner | INFO | Splitting the .pcap file: device_202402102330.pcap
2024-03-26 17:49:13 | cleaner | INFO | Converting (sub) .pcap files to .csv files
2024-03-26 17:49:13 | cleaner | INFO | Removing (sub) .pcap files.
2024-03-26 17:49:13 | cleaner | INFO | Merging (sub) .csv files to a summary csv
2024-03-26 17:49:13 | cleaner | INFO | Removing (sub) .csv files
2024-03-26 17:49:13 | cleaner | INFO | Cleaner job done. (C:/Users/User/Documents/GitHub/Network-based-Intrusion-Detection-System-using-Machine-Learning/data/pre-processed_csv_files/device_202402102330.pcap)(0.03s),  total_errors= 0
2024-03-26 17:49:13 | cleaner | INFO | Splitting the .pcap file: device_202402102340.pcap
2024-03-26 17:49:14 | cleaner | INFO | Converting (sub) .pcap files to .csv files
2024-03-26 17:49:14 | cleaner | INFO | Removing (sub) .pcap files.
2024-03-26 17:49:14 | cleaner | INFO | Merging (sub) .csv files to a summary csv
2024-03-26 17:49:14 | cleaner | INFO | Removing (sub) .csv files
2024-03-26 17:49:14 | cleaner | INFO | Cleaner job done. (C:/Users/User/Documents/GitHub/Network-based-Intrusion-Detection-System-using-Machine-Learning/data/pre-processed_csv_files/device_202402102340.pcap)(0.03s),  total_errors= 0
2024-03-26 17:49:14 | cleaner | INFO | Elapsed Time = 0.0617215633392334s
2024-03-26 17:50:50 | cleaner | INFO | Start Data Cleaning
2024-03-26 17:50:50 | cleaner | INFO | Splitting the .pcap file: device_202402102330.pcap
2024-03-26 17:50:50 | cleaner | INFO | Converting (sub) .pcap files to .csv files
2024-03-26 17:50:50 | cleaner | INFO | Removing (sub) .pcap files.
2024-03-26 17:50:50 | cleaner | INFO | Merging (sub) .csv files to a summary csv
2024-03-26 17:50:50 | cleaner | INFO | Removing (sub) .csv files
2024-03-26 17:50:50 | cleaner | INFO | Cleaner job done. (C:/Users/User/Documents/GitHub/Network-based-Intrusion-Detection-System-using-Machine-Learning/data/pre-processed_csv_files/device_202402102330.pcap)(0.03s),  total_errors= 0
2024-03-26 17:50:50 | cleaner | INFO | Splitting the .pcap file: device_202402102340.pcap
2024-03-26 17:50:50 | cleaner | INFO | Converting (sub) .pcap files to .csv files
2024-03-26 17:50:50 | cleaner | INFO | Removing (sub) .pcap files.
2024-03-26 17:50:50 | cleaner | INFO | Merging (sub) .csv files to a summary csv
2024-03-26 17:50:50 | cleaner | INFO | Removing (sub) .csv files
