2024-03-26 18:37:34 | detection | INFO | Raw pcap cleaned. Saved at C:/Users/User/Documents/GitHub/Network-based-Intrusion-Detection-System-using-Machine-Learning/data/pre-processed_csv_files/
2024-03-26 18:37:34 | detection | INFO | Starting Detection
2024-03-26 18:37:34 | detection | INFO | No file to process at C:/Users/User/Documents/GitHub/Network-based-Intrusion-Detection-System-using-Machine-Learning/data/pre-processed_csv_files/
2024-03-29 10:57:17 | detection | INFO | Starting Data Cleaning at C:/Users/User/Documents/GitHub/Network-based-Intrusion-Detection-System-using-Machine-Learning/data/raw_pcap/
2024-03-29 10:57:38 | detection | INFO | Starting Data Cleaning at C:/Users/User/Documents/GitHub/Network-based-Intrusion-Detection-System-using-Machine-Learning/data/raw_pcap/
2024-03-29 11:00:59 | detection | INFO | Starting Data Cleaning at C:/Users/User/Documents/GitHub/Network-based-Intrusion-Detection-System-using-Machine-Learning/data/raw_pcap/
2024-03-29 11:01:31 | detection | INFO | Starting Data Cleaning at C:/Users/User/Documents/GitHub/Network-based-Intrusion-Detection-System-using-Machine-Learning/data/raw_pcap/
2024-03-29 11:01:31 | detection | INFO | Raw pcap cleaned. Saved at C:/Users/User/Documents/GitHub/Network-based-Intrusion-Detection-System-using-Machine-Learning/data/pre-processed_csv_files/
2024-03-29 11:01:31 | detection | INFO | Starting Detection
2024-03-29 11:01:31 | detection | INFO | No file to process at C:/Users/User/Documents/GitHub/Network-based-Intrusion-Detection-System-using-Machine-Learning/data/pre-processed_csv_files/
2024-03-29 11:28:02 | detection | INFO | Starting Data Cleaning at C:/Users/User/Documents/GitHub/Network-based-Intrusion-Detection-System-using-Machine-Learning/data/raw_pcap/
2024-03-29 11:28:02 | detection | INFO | Raw pcap cleaned. Saved at C:/Users/User/Documents/GitHub/Network-based-Intrusion-Detection-System-using-Machine-Learning/data/pre-processed_csv_files/
2024-03-29 11:28:02 | detection | INFO | Starting Detection
2024-03-29 11:28:02 | detection | INFO | No file to process at C:/Users/User/Documents/GitHub/Network-based-Intrusion-Detection-System-using-Machine-Learning/data/pre-processed_csv_files/
